id,code,name
partner_occupation1,11,"AGRICULTURA, GANADERÍA, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
partner_occupation2,21,MINERÍA
partner_occupation3,22,"ELECTRICIDAD, AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL"
partner_occupation4,23,CONSTRUCCIÓN
partner_occupation5,31,INDUSTRIAS MANUFACTURERAS
partner_occupation6,43,COMERCIO AL POR MAYOR
partner_occupation7,46,COMERCIO AL POR MENOR
partner_occupation8,48,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
partner_occupation9,51,INFORMACIÓN EN MEDIOS MASIVOS
partner_occupation10,52,SERVICIOS FINANCIEROS Y DE SEGUROS
partner_occupation11,53,SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES
partner_occupation12,54,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
partner_occupation13,55,DIRECCIÓN DE CORPORATIVOS Y EMPRESAS
partner_occupation14,56,SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN
partner_occupation15,61,SERVICIOS EDUCATIVOS
partner_occupation16,62,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
partner_occupation17,71,"SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS, Y OTROS SERVICIOS RECREATIVOS"
partner_occupation18,72,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACIÓN DE ALIMENTOS Y BEBIDAS
partner_occupation19,81,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO
partner_occupation20,93,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES
partner_occupation21,111,AGRICULTURA
partner_occupation22,112,GANADERÍA
partner_occupation23,113,APROVECHAMIENTO FORESTAL
partner_occupation24,114,"PESCA, CAZA Y CAPTURA"
partner_occupation25,115,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES
partner_occupation26,211,EXTRACCIÓN DE PETRÓLEO Y GAS
partner_occupation27,212,"MINERÍA DE MINERALES METÁLICOS Y NO METÁLICOS, EXCEPTO PETRÓLEO Y GAS"
partner_occupation28,213,SERVICIOS RELACIONADOS CON LA MINERÍA
partner_occupation29,221,"GENERACIÓN, TRANSMISIÓN Y SUMINISTRO DE ENERGÍA ELÉCTRICA."
partner_occupation30,222,AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL.
partner_occupation31,236,EDIFICACIÓN
partner_occupation32,237,CONSTRUCCIÓN DE OBRAS DE INGENIERÍA CIVIL U OBRA PESADA
partner_occupation33,238,TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCIÓN
partner_occupation34,311,INDUSTRIA ALIMENTARIA
partner_occupation35,312,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO
partner_occupation36,313,FABRICACIÓN DE INSUMOS TEXTILES
partner_occupation37,314,"CONFECCIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR"
partner_occupation38,315,FABRICACIÓN DE PRENDAS DE VESTIR
partner_occupation39,316,"FABRICACIÓN DE PRODUCTOS DE CUERO, PIEL Y MATERIALES SUCEDÁNEOS, EXCEPTO PRENDAS DE VESTIR"
partner_occupation40,321,INDUSTRIA DE LA MADERA
partner_occupation41,322,INDUSTRIA DEL PAPEL
partner_occupation42,323,IMPRESIÓN E INDUSTRIAS CONEXAS
partner_occupation43,324,FABRICACIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO Y DEL CARBÓN
partner_occupation44,325,INDUSTRIA QUÍMICA
partner_occupation45,326,INDUSTRIA DEL PLÁSTICO Y DEL HULE
partner_occupation46,327,FABRICACIÓN DE PRODUCTOS A BASE DE MINERALES NO METÁLICOS
partner_occupation47,331,INDUSTRIAS METÁLICAS BÁSICAS
partner_occupation48,332,FABRICACIÓN DE PRODUCTOS METÁLICOS
partner_occupation49,333,FABRICACIÓN DE MAQUINARIA Y EQUIPO
partner_occupation50,334,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y ACCESORIOS ELECTRÓNICOS"
partner_occupation51,335,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS
partner_occupation52,336,FABRICACIÓN DE EQUIPO DE TRANSPORTE
partner_occupation53,337,FABRICACIÓN DE MUEBLES Y PRODUCTOS RELACIONADOS
partner_occupation54,339,OTRAS INDUSTRIAS MANUFACTURERAS
partner_occupation55,431,"COMERCIO AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO."
partner_occupation56,432,COMERCIO AL POR MAYOR DE PRODUCTOS TEXTILES Y CALZADO.
partner_occupation57,433,"COMERCIO AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, DE PERFUMERÍA, ACCESORIOS DE VESTIR, ARTÍCULOS PARA EL ESPARCIMIENTO Y ELECTRODOMÉSTICOS."
partner_occupation58,434,"COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS, PARA LA INDUSTRIA Y MATERIALES DE DESECHO."
partner_occupation59,435,"COMERCIO AL POR MAYOR DE MAQUINARIA, MOBILIARIO Y EQUIPO PARA ACTIVIDADES AGROPECUARIAS, INDUSTRIALES Y DE SERVICIOS."
partner_occupation60,436,COMERCIO AL POR MAYOR DE CAMIONES.
partner_occupation61,437,INTERMEDIACIÓN Y COMERCIO AL POR MAYOR POR MEDIOS MASIVOS DE COMUNICACIÓN Y OTROS MEDIOS.
partner_occupation62,461,"COMERCIO AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO."
partner_occupation63,462,COMERCIO AL POR MENOR EN TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES.
partner_occupation64,463,"COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, ACCESORIOS DE VESTIR Y CALZADO."
partner_occupation65,464,COMERCIO AL POR MENOR DE ARTÍCULOS PARA EL CUIDADO DE LA SALUD.
partner_occupation66,465,"COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA, PARA EL ESPARCIMIENTO Y OTROS ARTÍCULOS DE USO PERSONAL"
partner_occupation67,466,"COMERCIO AL POR MENOR DE ENSERES DOMÉSTICOS, COMPUTADORAS Y ARTÍCULOS PARA LA DECORACIÓN DE INTERIORES."
partner_occupation68,467,"COMERCIO AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, TLAPALERÍA Y VIDRIOS."
partner_occupation69,468,"COMERCIO AL POR MENOR DE VEHÍCULOS DE MOTOR, REFACCIONES, COMBUSTIBLES Y LUBRICANTES."
partner_occupation70,469,INTERMEDIACIÓN Y COMERCIO AL POR MENOR POR MEDIOS MASIVOS DE COMUNICACIÓN Y OTROS MEDIOS.
partner_occupation71,481,TRANSPORTE AÉREO
partner_occupation72,482,TRANSPORTE POR FERROCARRIL
partner_occupation73,483,TRANSPORTE POR AGUA
partner_occupation74,484,AUTOTRANSPORTE DE CARGA
partner_occupation75,485,"TRANSPORTE TERRESTRE DE PASAJEROS, EXCEPTO POR FERROCARRIL"
partner_occupation76,486,TRANSPORTE POR DUCTOS
partner_occupation77,487,TRANSPORTE TURÍSTICO
partner_occupation78,488,SERVICIOS RELACIONADOS CON EL TRANSPORTE
partner_occupation79,491,SERVICIOS POSTALES
